team_idx,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34
0,1:0-3,9:0-3,3:2-1,5:3-2,11:2-0,10:1-1,2:2-2,12:2-0,4:3-2,14:0-4,15:0-0,6:2-2,16:3-0,8:1-2,17:2-2,7:0-1,13:1-5,1:1-1,9:1-1,3:1-2,5:2-1,11:0-3,10:1-2,2:0-0,12:1-1,4:4-1,14:1-4,15:?-?,6:?-?,16:?-?,8:?-?,17:?-?,7:?-?,13:?-?
1,0:3-0,12:3-0,16:4-0,6:3-1,8:2-0,9:3-1,15:1-0,17:1-1,13:2-1,7:3-1,10:0-0,11:0-1,3:3-2,14:1-1,2:3-2,4:4-1,5:3-0,0:1-1,12:3-1,16:4-0,6:3-0,8:5-1,9:0-2,15:3-1,17:1-0,13:3-0,7:?-?,10:?-?,11:?-?,3:?-?,14:?-?,2:?-?,4:?-?,5:?-?
2,3:2-1,11:1-0,5:0-0,10:1-1,4:1-2,12:3-2,0:2-2,14:0-0,16:3-1,6:1-1,9:3-1,8:1-0,17:1-1,15:1-1,1:2-3,13:0-2,7:0-2,3:1-1,11:0-0,5:1-0,10:0-3,4:1-3,12:0-0,0:0-0,14:2-3,16:2-1,6:?-?,9:?-?,8:?-?,17:?-?,15:?-?,1:?-?,13:?-?,7:?-?
3,2:1-2,4:0-1,0:1-2,14:1-3,6:0-1,8:1-0,16:1-1,15:2-2,17:2-1,9:1-2,7:0-1,13:2-1,1:2-3,11:0-1,12:3-0,5:0-0,10:4-3,2:1-1,4:1-2,0:2-1,14:1-3,6:2-2,8:0-1,16:0-0,15:0-0,17:0-2,9:0-1,7:?-?,13:?-?,1:?-?,11:?-?,12:?-?,5:?-?,10:?-?
4,5:2-1,3:1-0,10:0-1,12:1-2,2:2-1,16:1-1,14:0-2,6:2-5,0:2-3,13:0-4,8:1-0,17:1-3,9:0-0,7:1-2,15:0-0,1:1-4,11:1-2,5:0-0,3:2-1,10:1-1,12:0-1,2:3-1,16:0-1,14:2-2,6:0-1,0:1-4,13:0-0,8:?-?,17:?-?,9:?-?,7:?-?,15:?-?,1:?-?,11:?-?
5,4:1-2,10:0-1,2:0-0,0:2-3,12:1-0,14:1-1,6:2-1,9:1-1,8:0-2,17:1-1,16:2-3,7:0-2,15:2-1,13:1-3,11:0-0,3:0-0,1:0-3,4:0-0,10:1-2,2:0-1,0:1-2,12:3-2,14:1-1,6:0-3,9:1-1,8:1-0,17:1-2,16:?-?,7:?-?,15:?-?,13:?-?,11:?-?,3:?-?,1:?-?
6,7:0-3,15:0-0,13:0-0,1:1-3,3:1-0,11:1-1,5:1-2,4:5-2,10:1-2,2:1-1,12:1-0,0:2-2,14:2-5,16:0-1,9:1-1,8:3-0,17:0-1,7:1-3,15:1-1,13:2-2,1:0-3,3:2-2,11:2-0,5:3-0,4:1-0,10:0-1,2:?-?,12:?-?,0:?-?,14:?-?,16:?-?,9:?-?,8:?-?,17:?-?
7,6:3-0,14:0-0,12:2-0,9:1-1,16:1-1,17:3-0,8:0-0,13:1-0,15:0-1,1:1-3,3:1-0,5:2-0,11:0-0,4:2-1,10:1-2,0:1-0,2:2-0,6:3-1,14:1-1,12:2-1,9:0-0,16:0-0,17:0-4,8:0-0,13:1-2,15:2-2,1:?-?,3:?-?,5:?-?,11:?-?,4:?-?,10:?-?,0:?-?,2:?-?
8,9:1-4,17:1-2,15:2-1,13:0-0,1:0-2,3:0-1,7:0-0,11:0-1,5:2-0,10:0-2,4:0-1,2:0-1,12:1-1,0:2-1,16:1-1,6:0-3,14:0-3,9:1-1,17:2-2,15:3-1,13:1-2,1:1-5,3:1-0,7:0-0,11:0-1,5:0-1,10:0-1,4:?-?,2:?-?,12:?-?,0:?-?,16:?-?,6:?-?,14:?-?
9,8:4-1,0:3-0,17:0-2,7:1-1,15:1-2,1:1-3,13:2-1,5:1-1,11:2-3,3:2-1,2:1-3,12:0-2,4:0-0,10:1-3,6:1-1,14:0-4,16:1-1,8:1-1,0:1-1,17:1-2,7:0-0,15:1-2,1:2-0,13:0-2,5:1-1,11:2-1,3:1-0,2:?-?,12:?-?,4:?-?,10:?-?,6:?-?,14:?-?,16:?-?
10,11:1-0,5:1-0,4:1-0,2:1-1,14:0-1,0:1-1,12:4-3,16:4-0,6:2-1,8:2-0,1:0-0,15:1-1,13:4-3,9:3-1,7:2-1,17:3-3,3:3-4,11:2-1,5:2-1,4:1-1,2:3-0,14:2-3,0:2-1,12:3-1,16:3-1,6:1-0,8:1-0,1:?-?,15:?-?,13:?-?,9:?-?,7:?-?,17:?-?,3:?-?
11,10:0-1,2:0-1,14:1-3,16:1-1,0:0-2,6:1-1,17:1-3,8:1-0,9:3-2,15:2-0,13:0-1,1:1-0,7:0-0,3:1-0,5:0-0,12:1-1,4:2-1,10:1-2,2:0-0,14:0-2,16:2-1,0:3-0,6:0-2,17:0-1,8:1-0,9:1-2,15:0-5,13:?-?,1:?-?,7:?-?,3:?-?,5:?-?,12:?-?,4:?-?
12,13:0-2,1:0-3,7:0-2,4:2-1,5:0-1,2:2-3,10:3-4,0:0-2,14:1-2,16:2-2,6:0-1,9:2-0,8:1-1,17:0-2,3:0-3,11:1-1,15:0-2,13:1-2,1:1-3,7:1-2,4:1-0,5:2-3,2:0-0,10:1-3,0:1-1,14:2-0,16:0-1,6:?-?,9:?-?,8:?-?,17:?-?,3:?-?,11:?-?,15:?-?
13,12:2-0,16:1-1,6:0-0,8:0-0,17:1-2,15:1-1,9:1-2,7:0-1,1:1-2,4:4-0,11:1-0,3:1-2,10:3-4,5:3-1,14:1-1,2:2-0,0:5-1,12:2-1,16:3-0,6:2-2,8:2-1,17:2-3,15:2-1,9:2-0,7:2-1,1:0-3,4:0-0,11:?-?,3:?-?,10:?-?,5:?-?,14:?-?,2:?-?,0:?-?
14,15:2-2,7:0-0,11:3-1,3:3-1,10:1-0,5:1-1,4:2-0,2:0-0,12:2-1,0:4-0,17:3-2,16:4-2,6:5-2,1:1-1,13:1-1,9:4-0,8:3-0,15:3-2,7:1-1,11:2-0,3:3-1,10:3-2,5:1-1,4:2-2,2:3-2,12:0-2,0:4-1,17:?-?,16:?-?,6:?-?,1:?-?,13:?-?,9:?-?,8:?-?
15,14:2-2,6:0-0,8:1-2,17:2-0,9:2-1,13:1-1,1:0-1,3:2-2,7:1-0,11:0-2,0:0-0,10:1-1,5:1-2,2:1-1,4:0-0,16:0-0,12:2-0,14:2-3,6:1-1,8:1-3,17:2-2,9:2-1,13:1-2,1:1-3,3:0-0,7:2-2,11:5-0,0:?-?,10:?-?,5:?-?,2:?-?,4:?-?,16:?-?,12:?-?
16,17:0-4,13:1-1,1:0-4,11:1-1,7:1-1,4:1-1,3:1-1,10:0-4,2:1-3,12:2-2,5:3-2,14:2-4,0:0-3,6:1-0,8:1-1,15:0-0,9:1-1,17:0-1,13:0-3,1:0-4,11:1-2,7:0-0,4:1-0,3:0-0,10:1-3,2:1-2,12:1-0,5:?-?,14:?-?,0:?-?,6:?-?,8:?-?,15:?-?,9:?-?
17,16:4-0,8:2-1,9:2-0,15:0-2,13:2-1,7:0-3,11:3-1,1:1-1,3:1-2,5:1-1,14:2-3,4:3-1,2:1-1,12:2-0,0:2-2,10:3-3,6:1-0,16:1-0,8:2-2,9:2-1,15:2-2,13:3-2,7:4-0,11:1-0,1:0-1,3:2-0,5:2-1,14:?-?,4:?-?,2:?-?,12:?-?,0:?-?,10:?-?,6:?-?
